"Agency","X..Of.Positions","Business.Title","Civil.Service.Title","Title.Classification","Level","Job.Category","Salary.Range.From","Salary.Range.To","Salary.Frequency","Division.Work.Unit","Minimum.Qual.Requirements","Preferred.Skills","Residency.Requirement","Work.Location","mean.salary","res.requirement","category_cleaned","minqual_cleaned","cleanskill"
"NYC HOUSING AUTHORITY",1,"PLASTERER","PLASTERER","Competitive-1","00","Building Operations & Maintenance",48.27,48.27,"Hourly","Brooklyn Property Management","Education and Experience Requirements: By the last day of the Application Period you must have:    (1) Five years of full-time satisfactory experience as a plasterer; or    (2) At least three years of full-time satisfactory experience as a plasterer, plus sufficient fulltime experience as a plastererâs apprentice, or training of a relevant nature acquired in a technical school or trade school or vocational high school approved by a Stateâs Department of Education or a recognized accrediting organization, to make up the equivalent of five years of acceptable experience. Six months of acceptable experience will be credited for each year of apprentice experience or approved trade or vocational high school training.",NA,"NYCHA has no residency requirements.","Brooklyn Floating Staff",48.27,"not required","Building Operations ","high school",NA
"DEPARTMENT OF CORRECTION",7,"Program Counselor","COMMUNITY COORDINATOR","Non-Competitive-5","00","Social Services",54100,62215,"Annual","Adult Offender Pgms.","1. A baccalaureate degree from an accredited college and two years of experience in community work or community centered activities in an area related to the duties described above; or  2. High school graduation or equivalent and six years of experience in community work or community centered activities in an area related to the duties as described above; or  3. Education and/or experience which is equivalent to 1 or 2 above. However, all candidates must have at least one year of experience as described in 1 above.","â¢ Experience working directly with juveniles (ages 10-18), young adults, or adults in a group, community,    educational, or institutional setting is preferred.  â¢ Ability to establish and maintain effective working relationships with all levels of correctional staff.  â¢ Ability to exercise independent judgment, prepare written reports and documents.  â¢ Knowledge of human development and behavior, counseling techniques, behavior modification and    intervention techniques.  â¢ Ability to mentor and provide positive interaction, guidance and leadership to people in custody.  â¢ Excellent writing, communication, inter-personal, analytical, research, problem-solving, and    organizational skills.","NYC Residency is not currently required at this time","75-20 Astoria Blvd",58157.5,"not required","Social Services","college degree","    experience working directly with juveniles  ages         young adults  or adults in a group  community     educational  or institutional setting is preferred       ability to establish and maintain effective working relationships with all levels of correctional staff       ability to exercise independent judgment  prepare written reports and documents       knowledge of human development and behavior  counseling techniques  behavior modification and    intervention techniques       ability to mentor and provide positive interaction  guidance and leadership to people in custody       excellent writing  communication  inter personal  analytical  research  problem solving  and    organizational skills "
"NYC HOUSING AUTHORITY",1,"HOUSING EXTERMINATOR L1","HOUSING EXTERMINATOR (HA)","Competitive-1","01","Building Operations & Maintenance",33558,54820,"Annual","Manhattan Property Management","A valid certificate as a Certified Commercial Pesticide Applicator for Industrial, Institutional, Structural and Rodent Control (7A) issued by the New York State Department of Environmental Conservation. This certificate must be maintained for the duration of employment.    License Requirement  For appointment to certain positions, at the time of appointment eligibles must possess a Motor Vehicle Driver License valid in the State of New York. This license must be maintained for the duration of employment.",NA,"NYCHA has no residency requirements.","Manhattan Floating Staff",44189,"not required","Building Operations ","relevant certificates required",NA
"DEPARTMENT OF CORRECTION",2,"Confidential Investigator","INVESTIGATOR (DISCIPLINE) (DOC","Non-Competitive-5","02","Public Safety, Inspections, & Enforcement",58167,58167,"Annual","Personnel Division","1. A four-year high school diploma or its educational equivalent and four years of satisfactory full-time experience in one or more of the fields of accounting, auditing, correction administration, criminal justice administration and planning, forensic science, inspection, investigation, law enforcement, personnel administration, police science, and security, or in a major operational area of the agency in which the appointment is to be made; or  2. A baccalaureate degree from an accredited college; or  3. Education and/or experience equivalent to 1 or 2 above.","â¢	Prior experience, knowledge of and/or demonstrated interest in law enforcement, criminal justice and/or social services issues.  â¢	Experience collecting, analyzing, and evaluating evidence.  â¢	Knowledge of the Penal Law Statutes and basic understanding of criminal procedure law.  â¢	Excellent communication skills and an ability to present evidence in court. â¢	Outstanding writing skills and an ability to convey facts and opinion clearly and concisely.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","75-20 Astoria Blvd",58167,"generally required","Public Safety","college degree","    prior experience  knowledge of and or demonstrated interest in law enforcement  criminal justice and or social services issues       experience collecting  analyzing  and evaluating evidence       knowledge of the penal law statutes and basic understanding of criminal procedure law       excellent communication skills and an ability to present evidence in court      outstanding writing skills and an ability to convey facts and opinion clearly and concisely "
"NYC HOUSING AUTHORITY",4,"CONFIDENTIAL INVESTIGATOR","CONFIDENTIAL INVESTIGATOR","Non-Competitive-5","01","Public Safety, Inspections, & Enforcement",45113,55000,"Annual","Office of the Inspect General","1. A four-year high school diploma or its educational equivalent approved by a State's Department of Education or a recognized accrediting organization and four years of satisfactory full-time experience in an industrial or governmental agency in the field of investigation, auditing, law enforcement, security, inspections, or in a major operational area of the agency in which the appointment is to be made; or    2.A baccalaureate degree from an accredited college or university; or    3. Education and/or experience equivalent to 1 or 2 above.","1.	A minimum of one (1) year of work experience in any of the following fields:  investigation, law enforcement, criminal justice, and/or security. 2.	Demonstrated ability to analyze and assess and draw conclusion based on a multitude of complex documents/data. 3.	Strong computer skills, including Word, Excel, and other investigative databases. 4.	Demonstrated ability to write clear, concise, and organized reports. 5.	Strong interpersonal skills, verbal communication and interviewing skills.","NYCHA has no residency requirements.","Office Of The Inspector Genera",50056.5,"not required","Public Safety","college degree","   a minimum of one     year of work experience in any of the following fields   investigation  law enforcement  criminal justice  and or security     demonstrated ability to analyze and assess and draw conclusion based on a multitude of complex documents data     strong computer skills  including word  excel  and other investigative databases     demonstrated ability to write clear  concise  and organized reports     strong interpersonal skills  verbal communication and interviewing skills "
"NYC HOUSING AUTHORITY",1,"MAINTENANCE WORKER","MAINTENANCE WORKER","Competitive-1","00","Building Operations & Maintenance",29.98,31.16,"Hourly","Manhattan Property Management","1. Three years of full-time satisfactory experience as a mechanic, journeyperson or helper in the electrical trades, the mechanical trades, or the construction or maintenance of buildings; or  2. At least two years of full-time satisfactory experience as described in 1 above plus sufficient full-time training or education in the electrical, mechanical or construction trades in a trade school, technical school or vocational high school to make up the equivalent of three years of acceptable experience. Six months of experience will be credited for each year of full-time acceptable training or education.",NA,"NYCHA has no residency requirements.","Wald Houses",30.57,"not required","Building Operations ","high school",NA
"DISTRICT ATTORNEY KINGS COUNTY",6,"Clerk (Officewide)","COMMUNITY ASSISTANT","Non-Competitive-5","00","Legal Affairs",37398,37398,"Annual","Trial Division Central Suppo","1. There are no formal education or experience requirements for this position. However, the ability to understand and carry out simple instructions is required.  2. Candidates must be able to understand and be understood in English.","â¢ Excellent time management. â¢ Excellent communication skills.  â¢ Ability to multi task. â¢ Ability to work independently & in a team and consistently maintain a professional demeanor.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","350 Jay St, Brooklyn  Ny",37398,"generally required","Legal Affairs","relative experience required","    excellent time management      excellent communication skills       ability to multi task      ability to work independently   in a team and consistently maintain a professional demeanor "
"DEPT OF YOUTH & COMM DEV SRVS",1,"Community Assistant","COLLEGE AIDE (ALL CITY DEPTS)","Non-Competitive-5","01","Technology, Data & Innovation",15.5,19.9,"Hourly","Strategic Partnerships","For Assignment Level I:  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school.  For Assignment Level II (Information Technology):  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or closely related field, including or supplemented by 9 semester credits in an acceptable course of study.  For Assignment Level III (Information Technology Fellow):  Matriculation at an accredited college or graduate school. Employment is conditioned upon continuance as a student in a college or graduate school with a specific course of study in information technology, computer science, management information systems, data processing, or other area relevant to the information technology project(s) assigned, including or supplemented by 9 semester credits in an acceptable course of study. Appointments to this Assignment Level will be made by the Technology Steering Committee through the Department of Information Technology and Telecommunications.    SPECIAL NOTE  Maximum tenure for all Assignment Levels in the title of College Aide is 6 years. No student shall be employed more than half-time in any week in which classes in which the student is enrolled are in session. Students may be employed full-time during their vacation periods.","â¢ Extensive knowledge of MS Excel and other software   â¢ Knowledge of, course of study in youth development, social and emotional learning, or closely    related field","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","2 Lafayette St., N.Y.",17.7,"generally required","Technology","college degree","    extensive knowledge of ms excel and other software       knowledge of  course of study in youth development  social and emotional learning  or closely    related field"
"HRA/DEPT OF SOCIAL SERVICES",3,"CUSTOMER SERVICE ASSISTANT","COMMUNITY ASSISTANT","Non-Competitive-5","00","Social Services",32520,37398,"Annual","Municipal ID-NM","1. There are no formal education or experience requirements for this position. However, the ability to understand and carry out simple instructions is required.  2. Candidates must be able to understand and be understood in English.","â¢ Must possess good computer technology skills including a proficiency in Microsoft Office    Software (Word, Excel, Access, PowerPoint) and the ability to learn new technology quickly.  â¢ Experience working for City government and/or immigrant or community based organization    entities a plus.  â¢ Must be highly organized and be attentive to detail.  â¢ Ability to communicate in a clear and concise manner, both verbally and in writing.  â¢ Must be able to write emails and correspondence that are free from grammatical and spelling    errors.  â¢ Highly professional demeanor.  â¢ Multilingual a plus.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","1 Metro Tech, Brooklyn Ny",34959,"generally required","Social Services","relative experience required","    must possess good computer technology skills including a proficiency in microsoft office    software  word  excel  access  powerpoint  and the ability to learn new technology quickly       experience working for city government and or immigrant or community based organization    entities a plus       must be highly organized and be attentive to detail       ability to communicate in a clear and concise manner  both verbally and in writing       must be able to write emails and correspondence that are free from grammatical and spelling    errors       highly professional demeanor       multilingual a plus "
"DEPT OF DESIGN & CONSTRUCTION",1,"Junior Project Manager","CIVIL ENGINEERING INTERN","Competitive-1","00","Engineering, Architecture, & Planning",51413,59125,"Annual","Pub Bldgs/Executive","1. A baccalaureate degree in civil engineering from an accredited college. A degree in any other engineering area or in civil engineering technology is not acceptable.","Candidates should possess excellent organizational, verbal, and written skills, with the ability to multi-task various projects. Proficiency in Microsoft Office is preferred.","New York City Residency is not required for this position.","30-30 Thomson Ave L I City Qns",55269,"not required","Engineering","college degree","candidates should possess excellent organizational  verbal  and written skills  with the ability to multi task various projects  proficiency in microsoft office is preferred "
"OFFICE OF MANAGEMENT & BUDGET",1,"Analyst  Economic Development- Project Development & Management","BUDGET ANALYST (OMB)","Pending Classification-2","01","Finance, Accounting, & Procurement Policy, Research & Analysis",51550,73806,"Annual","Housing/Eco Develop","1. A baccalaureate degree from an accredited college.","DESIRED QUALIFICATIONS:  â¢	Strong background or interest in economic development. â¢	Strong background in financial management and public policy.  â¢	Excellent oral and written communication skills â¢	Very strong technical knowledge of Microsoft Excel, Word, Access and Power Point.    â¢	Excellent interpersonal skills    OTHER QUALIFICATIONS:  Strong analytical, computer, and interpersonal communication skills, ability to work independently and proactively within a team.","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.","255 Greenwich Street",62678,"generally required","Finance","college degree","desired qualifications       strong background or interest in economic development      strong background in financial management and public policy       excellent oral and written communication skills     very strong technical knowledge of microsoft excel  word  access and power point         excellent interpersonal skills    other qualifications   strong analytical  computer  and interpersonal communication skills  ability to work independently and proactively within a team "
